Ndofs,Eta,Eta Eigenvalue 0,Eta Eigenvalue 1,Eta Eigenvalue 2,Eta Eigenvalue 3,Eta Eigenvalue 4,Eta Eigenvalue 5,Eta Eigenvalue 6
22159,4.33203159996083e-05,1.3308241552314706,1.2005738591804682,1.0059586239417737,0.7937735137004124,0.9233830668346772,1.0495243772844138,0.7863527183952641
25461,3.2488295927405794e-05,1.323754196198683,1.197561172039684,1.087647199525585,0.9483245115450825,0.6816950777238218,1.0560811700931967,0.7954836597941035
31555,2.729005052390523e-05,0.5878201789797823,0.4998766826496972,0.42234180983927994,0.5117137114476739,0.7206855270401362,0.4909180579824639,0.3617318639288671
34138,2.1484056903176645e-05,0.5203810699406232,0.4674537169231627,0.42584998260618984,0.4216257453519551,0.749348920492099,0.4534015002423148,0.345361708053747
40197,1.7191659623394302e-05,0.5201593340635827,0.46842307758825624,0.4300986831254631,0.3952344681377829,0.7899164911697669,0.45279745844465613,0.3437061510369351
45568,1.3043279546053398e-05,0.2924663334931537,0.3181471193822356,0.24403730203820873,0.42645806068109765,0.3087506126348839,0.25922393508538333,0.2277770987524958
55652,1.0830073926580187e-05,0.24662664746876972,0.2231678416455084,0.25026239644489234,0.4300695402880756,0.31337874453116027,0.25880955298874175,0.22677550375750635
62678,8.485652029440917e-06,0.24666375457351536,0.223031174776532,0.24799677096001965,0.3223428980372691,0.3799106566384561,0.2597000472337624,0.22766323347327597
74215,6.822520136451828e-06,0.1543327000883345,0.1592200892536479,0.18245874238850315,0.19274098217214117,0.20025729740163792,0.1492195507305114,0.15110723842557544
84219,5.227140759479723e-06,0.15436848990646396,0.15907926609039413,0.19502908729704344,0.19425746277726771,0.19849979888311778,0.14930448319729414,0.15139861787586611
106638,4.2979214425460445e-06,0.14262301217677012,0.15799219340191342,0.14799231105517752,0.14813530648033982,0.2321152714572538,0.15115083965420095,0.15261252197813657
119586,3.3965907690255403e-06,0.13118173759258597,0.10360000944218277,0.11666652112825761,0.15214860808730948,0.1586183220398786,0.10644853033563616,0.10364734415057755
137645,2.7150360683700096e-06,0.13118191061423953,0.1035993438761069,0.12679520688400356,0.12371580632344768,0.14133821546086597,0.10644737352789987,0.10367314092682352
157337,2.204381043911472e-06,0.0751871287327285,0.0967375610672813,0.07393971442506914,0.14791704553349558,0.1688638624178446,0.10417654978758359,0.0734299439199194
179424,1.7161871637805829e-06,0.04834844636404837,0.050054661284276485,0.06121123692756893,0.07628046713259425,0.06291771394379127,0.058455323503542565,0.04808079208206095
215811,1.347233562773138e-06,0.04834683288984078,0.050053372401147135,0.058297532407473276,0.07150498319615343,0.06835886793879065,0.0584558159991505,0.04808040878871566
256900,1.0791207937689974e-06,0.048446564176307064,0.04388857873908018,0.05786476144901652,0.05977828361885661,0.047493525723218084,0.037599128955913705,0.03655759712266088
